SYMBOL,EXPIRY_01,EXPIRY_02,EXPIRY_03,EXPIRY_04,EXPIRY_05,EXPIRY_06,EXPIRY_07,EXPIRY_08,EXPIRY_09,TIMESTAMP,EXPIRY_10,EXPIRY_11,EXPIRY_12,EXPIRY_13,EXPIRY_14,EXPIRY_15,EXPIRY_16,EXPIRY_17,EXPIRY_18,EXPIRY_19,EXPIRY_20,EXPIRY_21
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2017-05-17,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-05-18,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-05-18,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2017-05-19,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2017-05-19,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2017-05-22,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-05-22,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-05-23,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-05-23,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-05-24,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2017-05-24,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2017-05-25,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2017-05-25,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2017-05-26,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2017-05-26,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-05-29,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2017-05-29,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2017-05-30,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-05-30,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,40.0,,,2017-05-31,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-05-31,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,40.0,,,2017-06-01,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2017-06-01,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2017-06-02,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2017-06-02,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2017-06-05,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2017-06-05,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-06-06,,,,,,,,,,,,
